Titre,Prix,Fabricant,Carrosserie,Energie,Puissance fiscale,Boite,Transmission,Kilometrage,Annee,Inserée le,Model
Mercedes-Benz Classe A Berline 180,118000,Mercedes,Berline,Diesel,6,Automatique,Traction,120000,02.2020,26.02.2024,-Benz Classe A Berline 180
Audi A3 Sportback 1.5,145000,Audi,Berline,Hybride essence,8,Automatique,Intégrale,900,11.2023,26.02.2024,A3 Sportback 1.5
Volkswagen Golf 8 Style 1.5,133000,Volkswagen,Compacte,Hybride essence,8,Automatique,Traction,8000,12.2022,26.02.2024,Golf 8 Style 1.5
BMW Série 3 Kit m,215000,BMW,Berline,Essence,10,Automatique,Intégrale,4000,06.2023,26.02.2024,Série 3 Kit m
DS 7 Crossback Performance line,210000,DS,SUV/4x4,Hybride rechargeable essence,10,Automatique,Traction,1000,12.2023,26.02.2024,7 Crossback Performance line
Land Rover Range Rover Sport HSE p400e,385000,Land Rover,SUV/4x4,Hybride rechargeable essence,17,Automatique,Automatique,40000,01.2020,26.02.2024,Range Rover Sport HSE p400e
Land Rover Range Rover Evoque Se p300e,285000,Land Rover,SUV/4x4,Hybride essence,9,Automatique,Intégrale,6000,01.2023,26.02.2024,Range Rover Evoque Se p300e
Mercedes-Benz Classe E 300DE AMG-designo,285000,Mercedes,Berline,Hybride rechargeable diesel,10,Automatique,Propulsion,60000,01.2021,26.02.2024,-Benz Classe E 300DE AMG-designo
Mahindra KUV 100,36000,Mahindra,SUV/4x4,Essence,5,Manuelle,Traction,87000,11.2020,26.02.2024,KUV 100
MG 6,85000,MG,Berline,Essence,9,Automatique,Traction,20000,08.2021,26.02.2024,6
Seat Leon,71500,Seat,Citadine,Essence,6,Manuelle,Traction,66000,08.2020,26.02.2024,Leon
Chery E3,32000,Chery,Berline,Essence,6,Manuelle,Traction,85000,12.2016,26.02.2024,E3
Seat Ibiza,64900,Seat,Citadine,Essence,6,Manuelle,Traction,114000,07.2020,26.02.2024,Ibiza
Citroën C4,28900,Citroën,Citadine,Essence,6,Manuelle,Traction,189000,07.2011,26.02.2024,C4
BMW Série 3,72900,BMW,Berline,Essence,10,Automatique,Traction,170000,07.2013,26.02.2024,Série 3
Hyundai Grand i10,46900,Hyundai,Citadine,Essence,5,Manuelle,Traction,69000,06.2021,26.02.2024,Grand i10
Land Rover Range Rover Velar,350000,Land Rover,SUV/4x4,Diesel,11,Automatique,Traction,56000,12.2019,26.02.2024,Range Rover Velar
Audi A4,50000,Audi,Berline,Essence,7,Manuelle,Traction,175000,09.2014,26.02.2024,A4
Skoda Octavia,67000,Skoda,Berline,Essence,8,Automatique,Traction,103000,08.2018,26.02.2024,Octavia
Nissan Juke,55000,Nissan,SUV/4x4,Essence,6,Manuelle,Traction,134000,11.2015,26.02.2024,Juke
Land Rover Range Rover Sport,88000,Land Rover,SUV/4x4,Diesel,13,Automatique,Traction,196000,02.2008,26.02.2024,Range Rover Sport
Mercedes-Benz Classe E,55000,Mercedes,Berline,Diesel,9,Automatique,Traction,175000,04.2011,26.02.2024,-Benz Classe E
MG 5,53000,MG,Berline,Essence,6,Manuelle,Traction,23000,10.2021,26.02.2024,5
Porsche Cayenne,55000,Porsche,SUV/4x4,Essence,27,Automatique,Traction,234000,08.2003,26.02.2024,Cayenne
Volkswagen Scirocco,35000,Volkswagen,Monospace,Essence,9,Automatique,Traction,188000,09.2009,26.02.2024,Scirocco
Citroën C3,51000,Citroën,Citadine,Essence,5,Manuelle,Traction,26000,12.2020,26.02.2024,C3
Mini Countryman S HYBRID 4*4,158000,Mini,SUV/4x4,Hybride rechargeable essence,5,Automatique,Intégrale,35000,10.2019,26.02.2024,Countryman S HYBRID 4*4
Peugeot 3008,105000,Peugeot,Autres,Essence,7,Automatique,Traction,40000,06.2020,26.02.2024,3008
Mercedes-Benz Classe E,90000,Mercedes,Berline,Essence,9,Automatique,Traction,140000,06.2014,26.02.2024,-Benz Classe E
Land Rover Discovery Sport,155000,Land Rover,SUV/4x4,Diesel,9,Automatique,Traction,117000,07.2016,26.02.2024,Discovery Sport
Volkswagen Golf 8,102500,Volkswagen,Citadine,Essence,6,Manuelle,Traction,25000,12.2020,26.02.2024,Golf 8
Seat Ibiza,49900,Seat,Citadine,Essence,4,Manuelle,Traction,92000,08.2021,26.02.2024,Ibiza
Peugeot 3008,79000,Peugeot,SUV/4x4,Essence,7,Automatique,Traction,100000,05.2019,26.02.2024,3008
BAIC YX Kenbo S2,36000,BAIC,SUV/4x4,Essence,7,Manuelle,Traction,93000,04.2018,26.02.2024,YX Kenbo S2
Mercedes-Benz Classe C,49900,Mercedes,Berline,Diesel,10,Manuelle,Propulsion,199000,10.2010,26.02.2024,-Benz Classe C
Volkswagen Golf 7,55000,Volkswagen,Citadine,Essence,5,Manuelle,Traction,182000,07.2014,26.02.2024,Golf 7
Fiat 500,32500,Fiat,Monospace,Essence,4,Manuelle,Traction,94000,03.2012,26.02.2024,500
Dongfeng AX4,64000,Dongfeng,SUV/4x4,Essence,7,Manuelle,Traction,31000,11.2021,26.02.2024,AX4
Peugeot 5008,95000,Peugeot,SUV/4x4,Diesel,6,Automatique,Traction,138000,11.2019,26.02.2024,5008
Mazda CX-9,95000,Mazda,SUV/4x4,Essence,15,Automatique,Traction,159000,12.2017,26.02.2024,CX-9
Seat Leon,62000,Seat,Citadine,Essence,6,Manuelle,Traction,118000,10.2017,26.02.2024,Leon
Toyota Hilux,210000,Toyota,Pick up,Diesel,8,Automatique,Traction,1000,08.2023,26.02.2024,Hilux
Audi Q5 S-line,99900,Audi,SUV/4x4,Diesel,9,Automatique,Automatique,165000,02.2015,20.02.2024,Q5 S-line
Volkswagen Golf 7 Citadine,65000,Volkswagen,Citadine,Essence,5,Automatique,Traction,120000,08.2017,20.02.2024,Golf 7 Citadine
Chery Arrizo 5 Parfait Etat,37000,Chery,Citadine,Essence,7,Manuelle,Traction,170000,07.2017,20.02.2024,Arrizo 5 Parfait Etat
KIA Sportage GT line,100000,KIA,SUV/4x4,Diesel,10,Automatique,Intégrale,128000,05.2017,20.02.2024,Sportage GT line
"Renault Megane Phase 2, Moteur 1.6 16V",21500,Renault,Citadine,Essence,7,Manuelle,Traction,230000,12.2006,20.02.2024,"Megane Phase 2, Moteur 1.6 16V"
Nissan Juke,45000,Nissan,SUV/4x4,Essence,5,Manuelle,Intégrale,115000,12.2016,20.02.2024,Juke
Audi Q3 S line,88000,Audi,SUV/4x4,Essence,8,Automatique,Propulsion,99000,01.2018,20.02.2024,Q3 S line
Seat Leon Référence,37000,Seat,Compacte,Essence,5,Manuelle,Manuelle,190000,03.2014,20.02.2024,Leon Référence
Mazda CX-9 Confort,58500,Mazda,SUV/4x4,Essence,20,Automatique,Automatique,272000,08.2010,20.02.2024,CX-9 Confort
Mercedes-Benz Classe C PARFAITE,65000,Mercedes,Berline,Essence,20,Automatique,Automatique,250000,09.2016,20.02.2024,-Benz Classe C PARFAITE
Opel Astra GTC 2 PORTES,25000,Opel,Coupé,Essence,5,Manuelle,Manuelle,300000,11.2010,20.02.2024,Astra GTC 2 PORTES
Mercedes-Benz Classe C C180 Essence BVA bluemotio,51000,Mercedes,Berline,Essence,9,Automatique,Automatique,280000,01.2010,20.02.2024,-Benz Classe C C180 Essence BVA bluemotio
BMW Série 4 Gran Coupé 420i kit M performance,115000,BMW,Berline,Essence,10,Automatique,Traction,140000,03.2016,26.02.2024,Série 4 Gran Coupé 420i kit M performance
Haval H6,82000,Haval,SUV/4x4,Essence,9,Automatique,Intégrale,62000,01.2020,26.02.2024,H6
Volkswagen Passat,78000,Volkswagen,Citadine,Essence,7,Manuelle,Traction,69000,07.2018,26.02.2024,Passat
Seat Leon,71000,Seat,Citadine,Essence,6,Manuelle,Traction,60000,04.2020,26.02.2024,Leon
BMW Série 4 Gran Coupé 418 PACK M,125000,BMW,Citadine,Essence,7,Automatique,Traction,110000,06.2017,26.02.2024,Série 4 Gran Coupé 418 PACK M
Fiat Panda City Cross,45000,Fiat,Citadine,Essence,4,Manuelle,Traction,20000,05.2022,26.02.2024,Panda City Cross
Haval H6,80000,Haval,SUV/4x4,Essence,9,Automatique,Traction,90000,07.2019,26.02.2024,H6
BMW Série 1 Pack sport,92000,BMW,Citadine,Essence,7,Automatique,Traction,70000,01.2020,26.02.2024,Série 1 Pack sport
BMW X1 FACELIFT PACK M,144000,BMW,SUV/4x4,Essence,8,Automatique,Traction,87000,06.2020,26.02.2024,X1 FACELIFT PACK M
BMW X1,93000,BMW,SUV/4x4,Essence,8,Automatique,Traction,85000,05.2018,26.02.2024,X1
BMW X4 PACK M,268000,BMW,SUV/4x4,Essence,10,Automatique,Traction,73000,03.2020,26.02.2024,X4 PACK M
Jaguar F-Pace R-Sport dynamique,269000,Jaguar,SUV/4x4,Essence,15,Automatique,Intégrale,27000,03.2021,26.02.2024,F-Pace R-Sport dynamique
BMW Série 3 KIT M et kit akrapovic d’origine,76500,BMW,Berline,Essence,7,Automatique,Propulsion,116000,07.2016,26.02.2024,Série 3 KIT M et kit akrapovic d’origine
Land Rover Range Rover Sport Range Sport 3.0 V6 24CV HSE,238000,Land Rover,SUV/4x4,Essence,24,Automatique,Intégrale,90000,07.2016,26.02.2024,Range Rover Sport Range Sport 3.0 V6 24CV HSE
Toyota Hilux importée d’Allemagne,159000,Toyota,Pick up,Diesel,8,Manuelle,Manuelle,140000,07.2019,26.02.2024,Hilux importée d’Allemagne
Renault Clio,55500,Renault,Berline,Essence,5,Manuelle,Traction,130000,08.2021,26.02.2024,Clio
Citroën DS 7,119000,Citroën,SUV/4x4,Essence,10,Automatique,Traction,108000,11.2019,26.02.2024,DS 7
Mercedes-Benz CLA 180,155500,Mercedes,Berline,Essence,7,Automatique,Traction,80000,11.2019,26.02.2024,-Benz CLA 180
Mercedes-Benz Classe C c 200 KIT AMG,154500,Mercedes,Berline,Hybride essence,10,Automatique,Propulsion,46000,01.2020,26.02.2024,-Benz Classe C c 200 KIT AMG
Peugeot 3008,89500,Peugeot,SUV/4x4,Essence,7,Automatique,Traction,54000,01.2021,26.02.2024,3008
Porsche Cayenne GTS,95000,Porsche,SUV/4x4,Essence,31,Automatique,Traction,150000,01.2010,26.02.2024,Cayenne GTS
Mercedes-Benz Classe C 300e Pack amg,205000,Mercedes,Berline,Hybride essence,6,Automatique,Traction,35000,01.2020,26.02.2024,-Benz Classe C 300e Pack amg
Volkswagen Golf 8 R_line 1.5,155000,Volkswagen,Citadine,Essence,8,Automatique,Traction,40000,09.2021,26.02.2024,Golf 8 R_line 1.5
Renault Kadjar,66000,Renault,SUV/4x4,Essence,7,Automatique,Traction,150000,01.2018,26.02.2024,Kadjar
Audi Q3,85000,Audi,SUV/4x4,Essence,7,Automatique,Traction,77000,08.2017,26.02.2024,Q3
Chery Tiggo 3,43500,Chery,SUV/4x4,Essence,8,Manuelle,Traction,75000,08.2018,26.02.2024,Tiggo 3
Toyota C-HR,73000,Toyota,SUV/4x4,Essence,6,Automatique,Traction,90000,07.2018,26.02.2024,C-HR
Dongfeng T5 EVO,182920,Dongfeng,SUV/4x4,Essence,9,Automatique,Traction,4000,11.2023,26.02.2024,T5 EVO
Land Rover Range Rover Velar dynamique,295000,Land Rover,SUV/4x4,Essence,11,Automatique,Traction,90000,10.2020,26.02.2024,Range Rover Velar dynamique
BMW Série 4 Coupé 420i Pack M,112000,BMW,Coupé,Essence,10,Automatique,Traction,155000,01.2015,26.02.2024,Série 4 Coupé 420i Pack M
Mini 3 portes one,57000,Mini,Coupé,Essence,4,Manuelle,Traction,70000,06.2016,26.02.2024,3 portes one
KIA Rio 5p,68000,KIA,Citadine,Essence,5,Manuelle,Traction,45000,07.2022,26.02.2024,Rio 5p
Porsche Panamera 4S  V8,169000,Porsche,Berline,Essence,30,Automatique,Propulsion,96000,02.2011,26.02.2024,Panamera 4S  V8
BMW Série 1 Boîte automatique,69500,BMW,Compacte,Essence,7,Automatique,Automatique,102000,07.2017,26.02.2024,Série 1 Boîte automatique
BMW Série 3 318i pack M,117000,BMW,Berline,Essence,7,Automatique,Automatique,86000,08.2018,26.02.2024,Série 3 318i pack M
Toyota Hilux Importe d’Allemagne,159000,Toyota,Pick up,Essence,8,Manuelle,Manuelle,140000,07.2019,26.02.2024,Hilux Importe d’Allemagne
Audi A4,46500,Audi,Berline,Essence,8,Manuelle,Manuelle,125000,07.2014,26.02.2024,A4
Mercedes-Benz CLA AMG Importée d’Allemagne,154500,Mercedes,Berline,Essence,7,Automatique,Automatique,80000,08.2019,26.02.2024,-Benz CLA AMG Importée d’Allemagne
Mercedes-Benz CLA KIT AMG,157000,Mercedes,Berline,Diesel,6,Automatique,Traction,61000,11.2019,26.02.2024,-Benz CLA KIT AMG
Hyundai Tucson DIESEL-HYBRID,155000,Hyundai,SUV/4x4,Hybride diesel,7,Automatique,Traction,50000,04.2021,26.02.2024,Tucson DIESEL-HYBRID
Peugeot 208,44500,Peugeot,Citadine,Essence,4,Manuelle,Traction,34000,03.2022,26.02.2024,208
Ford Focus,58500,Ford,Citadine,Essence,6,Manuelle,Propulsion,100000,07.2018,26.02.2024,Focus
Toyota Corolla,73000,Toyota,Citadine,Essence,6,Automatique,Traction,135000,07.2020,26.02.2024,Corolla
Audi A6,37000,Audi,Berline,Essence,11,Automatique,Traction,419000,09.2008,26.02.2024,A6
Citroën C3 SHINE,43000,Citroën,Citadine,Essence,4,Manuelle,Traction,28000,01.2019,26.02.2024,C3 SHINE
KIA Rio 5p,54500,KIA,Citadine,Essence,5,Manuelle,Traction,66000,01.2022,26.02.2024,Rio 5p
KIA Picanto GT-Line,43000,KIA,Citadine,Essence,5,Automatique,Automatique,89000,07.2019,26.02.2024,Picanto GT-Line
Fiat 500,37500,Fiat,Coupé,Essence,6,Automatique,Traction,135000,05.2013,26.02.2024,500
Hyundai Grand i10 Sedan,36500,Hyundai,Berline,Essence,5,Manuelle,Traction,118000,02.2020,26.02.2024,Grand i10 Sedan
Peugeot 2008,90000,Peugeot,SUV/4x4,Essence,7,Automatique,Traction,37000,09.2021,26.02.2024,2008
Mahindra KUV 100 K8,39500,Mahindra,SUV/4x4,Essence,5,Manuelle,Traction,8000,06.2023,26.02.2024,KUV 100 K8
Peugeot 406 3.0,15500,Peugeot,Coupé,Essence,10,Manuelle,Traction,150000,07.1998,26.02.2024,406 3.0
Mercedes-Benz Classe C 1.6L,109000,Mercedes,Berline,Essence,9,Automatique,Traction,167000,03.2014,26.02.2024,-Benz Classe C 1.6L
Mercedes-Benz Classe S S350,105000,Mercedes,Berline,Diesel,15,Automatique,Traction,111000,06.2008,26.02.2024,-Benz Classe S S350
Peugeot 3008 1.6L GT LINE,86000,Peugeot,SUV/4x4,Essence,9,Automatique,Traction,92000,01.2018,26.02.2024,3008 1.6L GT LINE
Porsche Macan S,355000,Porsche,SUV/4x4,Essence,26,Automatique,Traction,52000,09.2019,26.02.2024,Macan S
Toyota Agya 1.0L,34500,Toyota,Coupé,Essence,4,Manuelle,Traction,30000,08.2021,26.02.2024,Agya 1.0L
Audi Q5 2.0L,68500,Audi,SUV/4x4,Diesel,10,Automatique,Traction,190000,03.2012,26.02.2024,Q5 2.0L
BMW Série 3 1.6,47000,BMW,Coupé,Essence,7,Manuelle,Traction,99000,03.2010,26.02.2024,Série 3 1.6
Audi Q3 1.4,87000,Audi,SUV/4x4,Essence,8,Automatique,Traction,111000,04.2017,26.02.2024,Q3 1.4
Mercedes-Benz Classe E coupé E350,68500,Mercedes,Coupé,Diesel,14,Automatique,Traction,150000,06.2009,26.02.2024,-Benz Classe E coupé E350
Mercedes-Benz CLA 1.6,77000,Mercedes,Berline,Essence,8,Automatique,Traction,174000,08.2013,26.02.2024,-Benz CLA 1.6
Peugeot 3008 GT-line,105000,Peugeot,SUV/4x4,Essence,6,Automatique,Traction,110000,05.2020,26.02.2024,3008 GT-line
Audi Q3 S_Line,95000,Audi,SUV/4x4,Essence,8,Automatique,Traction,100000,12.2017,26.02.2024,Q3 S_Line
Porsche Cayenne V6,185000,Porsche,SUV/4x4,Essence,21,Automatique,Traction,70000,09.2013,26.02.2024,Cayenne V6
Mercedes-Benz Classe C Pack AMG,218000,Mercedes,Citadine,Essence,9,Automatique,Traction,50000,06.2022,26.02.2024,-Benz Classe C Pack AMG
Mercedes-Benz Classe E Kit AMG,87000,Mercedes,Citadine,Essence,10,Automatique,Traction,135000,07.2011,26.02.2024,-Benz Classe E Kit AMG
Mercedes-Benz Classe A,159000,Mercedes,Citadine,Essence,8,Automatique,Traction,20000,07.2022,26.02.2024,-Benz Classe A
Ford Ka,24000,Ford,Citadine,Essence,4,Manuelle,Traction,173000,11.2014,26.02.2024,Ka
Fiat Grande Punto,28500,Fiat,Coupé,Essence,4,Manuelle,Traction,93000,03.2017,26.02.2024,Grande Punto
BMW Série 2 Active Tourer Pack M,78800,BMW,Berline,Essence,7,Automatique,Traction,142000,07.2015,26.02.2024,Série 2 Active Tourer Pack M
Volkswagen Golf 7 Smart Line,58000,Smart,Berline,Essence,6,Manuelle,Traction,169000,10.2016,26.02.2024,Volkswagen Golf 7  Line
Audi Q5 QUATTRO COUPE S-LINE,350000,Audi,SUV/4x4,Hybride diesel,12,Automatique,Intégrale,17313,11.2022,19.02.2024,Q5 QUATTRO COUPE S-LINE
Volkswagen Golf 7 IQ DRIVE,89000,Volkswagen,Citadine,Essence,5,Manuelle,Traction,48257,07.2019,19.02.2024,Golf 7 IQ DRIVE
Ford Focus,24000,Ford,Citadine,Essence,6,Manuelle,Traction,128000,10.2007,26.02.2024,Focus
Volkswagen Golf 7 RESTYLEE IQ DRIVE,88000,Volkswagen,Citadine,Essence,6,Manuelle,Traction,31915,10.2019,19.02.2024,Golf 7 RESTYLEE IQ DRIVE
Volkswagen Golf 8 GTE ESSENCE/ELECTRIQUE,148000,Volkswagen,Citadine,Essence,6,Automatique,Traction,65786,04.2021,19.02.2024,Golf 8 GTE ESSENCE/ELECTRIQUE
Mercedes-Benz GLA 250 E KIT AMG,198000,Mercedes,Berline,Hybride essence,11,Automatique,Traction,58499,11.2020,19.02.2024,-Benz GLA 250 E KIT AMG
Mini Cooper S COOPER 1.5,105000,Mini,Coupé,Essence,7,Automatique,Traction,32529,07.2020,19.02.2024,Cooper S COOPER 1.5
KIA Sportage GT-LINE,115000,KIA,SUV/4x4,Diesel,7,Automatique,Intégrale,98872,05.2019,19.02.2024,Sportage GT-LINE
Dacia Sandero,56000,Dacia,Autres,Essence,6,Automatique,Propulsion,36746,10.2019,19.02.2024,Sandero
Hyundai i20 HYNDAI I20 HIGH GRADE N LINE,70000,Hyundai,Compacte,Essence,5,Automatique,Traction,63386,07.2022,19.02.2024,i20 HYNDAI I20 HIGH GRADE N LINE
Peugeot 3008 GT-LINE,120000,Peugeot,SUV/4x4,Essence,9,Automatique,Intégrale,75822,02.2022,19.02.2024,3008 GT-LINE
Peugeot 508 PREMUIM,98000,Peugeot,SUV/4x4,Diesel,7,Manuelle,Intégrale,97059,03.2019,19.02.2024,508 PREMUIM
Citroën Berlingo Utilitaire CITROEN BERLINGO K9,57000,Citroën,Utilitaire,Diesel,5,Manuelle,Traction,102624,05.2019,19.02.2024,Berlingo Utilitaire CITROEN BERLINGO K9
Mercedes-Benz Classe C coupé AMG,134000,Mercedes,Coupé,Essence,8,Automatique,Propulsion,135000,04.2017,26.02.2024,-Benz Classe C coupé AMG
Volkswagen Tiguan,85000,Volkswagen,SUV/4x4,Essence,8,Automatique,Traction,98000,10.2017,26.02.2024,Tiguan
Mercedes-Benz Classe A Importe D’Allemagne,135000,Mercedes,Compacte,Essence,7,Automatique,Traction,55000,07.2019,26.02.2024,-Benz Classe A Importe D’Allemagne
Audi Q3 SLINE,225000,Audi,SUV/4x4,Diesel,9,Automatique,Traction,23000,09.2022,26.02.2024,Q3 SLINE
BMW Série 4 Gran Coupé grand coupee,143000,BMW,Berline,Essence,7,Automatique,Propulsion,57000,08.2020,26.02.2024,Série 4 Gran Coupé grand coupee
BMW Série 5 BUSINESS line,190000,BMW,Berline,Essence,10,Automatique,Propulsion,65500,11.2020,26.02.2024,Série 5 BUSINESS line
Porsche Cayenne v6,53000,Porsche,SUV/4x4,Essence,23,Automatique,Intégrale,252000,09.2007,26.02.2024,Cayenne v6
Audi Q5 Sportback SLINE,340000,Audi,SUV/4x4,Essence,17,Automatique,Intégrale,32000,07.2022,26.02.2024,Q5 Sportback SLINE
Mercedes-Benz Classe C 200 EQ Boost AMG,155000,Mercedes,Berline,Hybride essence,10,Automatique,Automatique,43000,08.2019,26.02.2024,-Benz Classe C 200 EQ Boost AMG
Audi Q3 Nouveau Modèle,135000,Audi,SUV/4x4,Essence,9,Automatique,Traction,55000,07.2020,26.02.2024,Q3 Nouveau Modèle
Land Rover Range Rover Sport sport SDV6,297000,Land Rover,SUV/4x4,Diesel,19,Automatique,Automatique,79000,01.2017,26.02.2024,Range Rover Sport sport SDV6
Mercedes-Benz Classe A A180,118500,Mercedes,Berline,Essence,7,Automatique,Traction,115000,08.2020,26.02.2024,-Benz Classe A A180
Mercedes-Benz Classe A,54500,Mercedes,Compacte,Essence,6,Manuelle,Traction,169000,01.2013,26.02.2024,-Benz Classe A
Volkswagen Amarok HIGHLINE,97000,Volkswagen,Pick up,Diesel,7,Automatique,Traction,215000,02.2017,26.02.2024,Amarok HIGHLINE
Seat Leon,66000,Seat,Citadine,Essence,6,Manuelle,Traction,100000,01.2018,25.02.2024,Leon
KIA Sportage,77000,KIA,SUV/4x4,Essence,8,Automatique,Traction,100000,12.2016,25.02.2024,Sportage
KIA Sportage,98000,KIA,SUV/4x4,Essence,8,Automatique,Traction,100000,01.2020,25.02.2024,Sportage
Hyundai Grand i10,35000,Hyundai,Citadine,Essence,5,Manuelle,Traction,78000,05.2018,25.02.2024,Grand i10
Mercedes-Benz Classe C,118000,Mercedes,Berline,Essence,8,Automatique,Traction,120000,03.2019,25.02.2024,-Benz Classe C
Dacia Dokker Van,48500,Dacia,Citadine,Diesel,5,Manuelle,Traction,160000,05.2018,25.02.2024,Dokker Van
Nissan Qashqai Tekna plus,82000,Nissan,SUV/4x4,Essence,7,Automatique,Automatique,72000,07.2017,25.02.2024,Qashqai Tekna plus
Fiat Grande Punto,29200,Fiat,Citadine,Essence,4,Manuelle,Traction,141000,04.2016,25.02.2024,Grande Punto
Chery Tiggo 3X LUXURY,61000,Chery,Autres,Essence,6,Automatique,Traction,4000,01.2022,25.02.2024,Tiggo 3X LUXURY
KIA Rio 5p neuf,69000,KIA,Citadine,Essence,5,Manuelle,Propulsion,28000,01.2023,25.02.2024,Rio 5p neuf
"Peugeot 3008 1,2 L - 135 ch EAT allure",92000,Peugeot,SUV/4x4,Essence,7,Automatique,Traction,70000,11.2019,25.02.2024,"3008 1,2 L - 135 ch EAT allure"
Volkswagen Golf 8 Life,125000,Volkswagen,Compacte,Essence,8,Automatique,Traction,15000,02.2023,25.02.2024,Golf 8 Life
Mercedes-Benz Classe A AMG,175000,Mercedes,Compacte,Hybride rechargeable essence,8,Automatique,Automatique,6000,12.2022,25.02.2024,-Benz Classe A AMG
Land Rover Range Rover Evoque 2.2 Diesel Dynamic,122000,Land Rover,SUV/4x4,Diesel,11,Automatique,Intégrale,145000,04.2016,25.02.2024,Range Rover Evoque 2.2 Diesel Dynamic
Volkswagen Golf 7 R Line,64000,Volkswagen,Berline,Essence,6,Automatique,Traction,150000,08.2016,25.02.2024,Golf 7 R Line
Mercedes-Benz Classe C AMG,138000,Mercedes,Berline,Diesel,9,Automatique,Propulsion,120000,07.2019,25.02.2024,-Benz Classe C AMG
Volkswagen Golf 8 RLINE,149000,Volkswagen,Compacte,Hybride essence,8,Automatique,Traction,44500,10.2021,25.02.2024,Golf 8 RLINE
Toyota Land Cruiser VX,390000,Toyota,SUV/4x4,Diesel,19,Automatique,Intégrale,85000,01.2016,25.02.2024,Land Cruiser VX
KIA Rio 5p 1.3L,54000,KIA,Coupé,Essence,5,Manuelle,Traction,90000,06.2020,26.02.2024,Rio 5p 1.3L
DS 3 PERFORMANCE LINE,46000,DS,Coupé,Essence,6,Automatique,Traction,120000,01.2020,26.02.2024,3 PERFORMANCE LINE
Audi A4 1.4,75000,Audi,Berline,Essence,8,Automatique,Traction,150000,06.2017,26.02.2024,A4 1.4
MG ZS 1.5,68000,MG,Berline,Essence,7,Automatique,Traction,40000,06.2019,26.02.2024,ZS 1.5
Jeep Compass 2.4,37900,Jeep,SUV/4x4,Essence,11,Automatique,Traction,220000,05.2006,26.02.2024,Compass 2.4
Mazda CX-9 3.8L,43000,Mazda,Autres,Essence,20,Automatique,Traction,200000,10.2010,26.02.2024,CX-9 3.8L
Jeep Renegade 1.4L,76000,Jeep,SUV/4x4,Essence,8,Automatique,Traction,95000,10.2019,26.02.2024,Renegade 1.4L
Mercedes-Benz Classe A 1.4,148000,Mercedes,Coupé,Essence,8,Automatique,Traction,40500,09.2019,26.02.2024,-Benz Classe A 1.4
Cupra Formentor 1.5L,169000,Cupra,Berline,Essence,8,Automatique,Traction,19000,10.2022,26.02.2024,Formentor 1.5L
Mercedes-Benz CLS V6,52000,Mercedes,Berline,Diesel,13,Automatique,Traction,300000,06.2007,26.02.2024,-Benz CLS V6
BMW Série 3 1.6,75000,BMW,Berline,Essence,7,Automatique,Traction,160000,12.2017,26.02.2024,Série 3 1.6
Audi A4 1.8,54500,Audi,Berline,Essence,7,Manuelle,Traction,140000,07.2013,26.02.2024,A4 1.8
KIA Picanto,41000,KIA,Citadine,Essence,4,Manuelle,Manuelle,32000,09.2020,25.02.2024,Picanto
Renault Clio Intense TCe,41000,Renault,Berline,Essence,5,Manuelle,Manuelle,59000,05.2016,25.02.2024,Clio Intense TCe
Mahindra KUV 100 K8,33000,Mahindra,Citadine,Essence,5,Manuelle,Traction,33000,07.2021,25.02.2024,KUV 100 K8
Peugeot 208 Populaire,42000,Peugeot,Citadine,Essence,4,Manuelle,Manuelle,20000,01.2022,26.02.2024,208 Populaire
Seat Leon,44000,Seat,Compacte,Essence,5,Manuelle,Traction,231000,04.2014,26.02.2024,Leon
Volkswagen Tiguan connect,99000,Volkswagen,SUV/4x4,Essence,8,Manuelle,Manuelle,65000,08.2019,26.02.2024,Tiguan connect
Mahindra KUV 100 K8,30000,Mahindra,Autres,Essence,5,Manuelle,Traction,90000,05.2019,26.02.2024,KUV 100 K8
Peugeot 206,19000,Peugeot,Citadine,Essence,4,Manuelle,Traction,183000,12.2005,26.02.2024,206
Mercedes-Benz Classe C AMG,55000,Mercedes,Berline,Essence,9,Automatique,Traction,150000,05.2010,26.02.2024,-Benz Classe C AMG
Peugeot 308 cc Cabriolet,36000,Peugeot,Cabriolet,Essence,9,Manuelle,Traction,140000,07.2012,26.02.2024,308 cc Cabriolet
Seat Ibiza,52000,Seat,Citadine,Essence,4,Manuelle,Propulsion,46000,01.2022,26.02.2024,Ibiza
Nissan Qashqai Tn239,78000,Nissan,SUV/4x4,Diesel,5,Manuelle,Traction,138000,02.2019,26.02.2024,Qashqai Tn239
Volkswagen Tiguan,73000,Volkswagen,SUV/4x4,Essence,8,Automatique,Traction,185000,09.2017,26.02.2024,Tiguan
Volkswagen Jetta,38500,Volkswagen,Berline,Essence,8,Manuelle,Traction,170000,02.2013,25.02.2024,Jetta
KIA Rio 5p Prestige,57000,KIA,Citadine,Essence,5,Manuelle,Traction,67000,03.2021,26.02.2024,Rio 5p Prestige
Volkswagen Golf 7,68500,Volkswagen,Citadine,Diesel,6,Automatique,Traction,200000,02.2019,26.02.2024,Golf 7
Mercedes-Benz Classe A,118000,Mercedes,Citadine,Diesel,6,Automatique,Traction,98000,03.2019,26.02.2024,-Benz Classe A
Peugeot 208 Ehdi,45500,Peugeot,Citadine,Diesel,5,Manuelle,Traction,158000,01.2021,26.02.2024,208 Ehdi
